videoId,commentId,commentAuthor,authorChannelId,commentText,commentLikeCount,commentPublishedAt,commentUpdatedAt,commentReplyCount,language,textClean,feeling
NICiZxfOjDk,UgwN-tshza3FWdFYJzN4AaABAg,@antoniocarlos0686,UCTUXPo4l2bRcKRCce_dUJRw,Esse cara vai sair bonitinho ainda nessa história,1.0,2025-12-01T17:18:08Z,2025-12-01T17:18:08Z,0.0,pt,Esse cara vai sair bonitinho ainda nessa história,Negativo
4Aegg62pnUM,Ugw3zbcX__4JhchmEgl4AaABAg,@ViniciusSilva-e6g,UCaYjcBU4Dwklp9GvAteXvmA,o mais engaçado é que ele fica sério kkkkkkkkk,0.0,2026-03-07T14:28:16Z,2026-03-07T14:28:16Z,0.0,pt,o mais engaçado é que ele fica sério kkkkkkkkk,Neutro
GIy0D3ZKkj0,UgwYi5TMTc5JnJO1u9h4AaABAg,@joyce.rosa77,UCXMgNWU4iQC4ZilI1p_aHSQ,Ismeiow está certa!!! Várias pessoas estavam falando sobre isso há muito tempo.,0.0,2025-08-13T11:52:11Z,2025-08-13T11:52:11Z,0.0,pt,Ismeiow está certa!!! Várias pessoas estavam falando sobre isso há muito tempo.,Positivo
7kAOy3E9CWw,UgwJyrVhAEKA22KtvZt4AaABAg,@tassiocoelho31,UCkTGUvv7JrN41a1WQb4l9CA,"Essa mulher eh INSUPORTAVEL.
Ela pede pra falar, mas n deixa ng falar.
Eles falam de animal, ela puxa o papo de declaraçao de imposto de renda.
Aguentar essa mulher eh tarefa herculea.",0.0,2025-10-09T20:51:49Z,2025-10-09T20:51:49Z,0.0,pt,"Essa mulher eh INSUPORTAVEL. Ela pede pra falar, mas n deixa ng falar. Eles falam de animal, ela puxa o papo de declaraçao de imposto de renda. Aguentar essa mulher eh tarefa herculea.",Negativo
_eL_wYX9jKA,Ugx07YjqfZ_QLTs6KzR4AaABAg,@albertozanardi1,UCV497us7rt8pO5Nzkrx_YFg,"Bastava denunciar os criminosos. Será que isto não é mais uma ""Cortina de fumaça"", BP? Não duvidaria que o tal Fécula tivesse recebido algum incentivo dos governantes para criar este conteúdo que foi plenamente divulgado pela esquerda; Nelipe Feto, um tal de não sei o que Hilton ... Hugo Brocha já até anunciou lançar um projeto de lei para regulação das mídias; ou seja, SENSURA nas redes sociais.
Acorda BP!!! Não decepciona.",0.0,2025-08-14T05:01:07Z,2025-08-14T05:01:07Z,0.0,pt,"Bastava denunciar os criminosos. Será que isto não é mais uma ""Cortina de fumaça"", BP? Não duvidaria que o tal Fécula tivesse recebido algum incentivo dos governantes para criar este conteúdo que foi plenamente divulgado pela esquerda; Nelipe Feto, um tal de não sei o que Hilton ... Hugo Brocha já até anunciou lançar um projeto de lei para regulação das mídias; ou seja, SENSURA nas redes sociais. Acorda BP!!! Não decepciona.",Negativo
79a1PkMpCyI,Ugwb1HwicpYT_J0IYNt4AaABAg,@francielisilvadossantos7942,UCA8YC-4Lxk4cy2gqYfDDjqQ,Eu adoro o felca❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ ele salvou a gente cara por que vocês ainda estão criticando ele,0.0,2026-02-14T02:13:14Z,2026-02-14T02:13:14Z,0.0,pt,Eu adoro o felca❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ ele salvou a gente cara por que vocês ainda estão criticando ele,Positivo
coAxoLWvfFU,UgzBKO0qQmePXdE8LnV4AaABAg,@killuax7ff,UCglNZnHI4dbs_0CBgIGW6cA,21:16 a cara do muca olhando pro felca 😂😂😂😂😂,1.0,2025-08-19T01:58:34Z,2025-08-19T01:58:34Z,0.0,pt,21:16 a cara do muca olhando pro felca 😂😂😂😂😂,Neutro
oz6-lz-t0fQ,Ugz2fKcwszizkqqd02t4AaABAg,@Edubluues,UCbyovUKlQJnhvGr1zpELTug,Xandão é um imbecil mesmo,0.0,2026-03-22T14:35:28Z,2026-03-22T14:35:28Z,0.0,pt,Xandão é um imbecil mesmo,Negativo
9V2lVAOiLXs,UgwqN-Zd-bfsr1TQX-d4AaABAg,@Duuhh13,UCDz2mH8rSfBLIlqBUf1zmQg,Se o ferro tira o Roblox com aruan na casa dele eu vou pegar uma faca ou uma coisa vou tacar na cabeça dele ele vai morrer montinho no chão ele vai morrer e todo mundo do Roblox que gosta de jogar Roblox vai enterrar ele quero ver agora ele tirar o Roblox para ele ver que que acontece com ele kkkkkkkkkkkkkk😊😊,0.0,2026-02-08T17:34:58Z,2026-02-08T17:34:58Z,0.0,pt,Se o ferro tira o Roblox com aruan na casa dele eu vou pegar uma faca ou uma coisa vou tacar na cabeça dele ele vai morrer montinho no chão ele vai morrer e todo mundo do Roblox que gosta de jogar Roblox vai enterrar ele quero ver agora ele tirar o Roblox para ele ver que que acontece com ele kkkkkkkkkkkkkk😊😊,Negativo
KGk7SB2I8IY,UgxU5j_STZk-rIpxFZR4AaABAg,@HeroSSz,UC5dIw_DVva1bIZ416_JsVIA,estamos vivendo a revolução francesa digital,2.0,2026-03-19T15:36:08Z,2026-03-19T15:36:08Z,3.0,pt,estamos vivendo a revolução francesa digital,Neutro
u4y-4rBIPUQ,UgxUlSJrYO7m2H7PUAd4AaABAg,@kduo-c7y,UCXObr-lbkHimhIRHjsTYk-A,nem deus perdoa o cariani!,0.0,2025-12-28T00:41:19Z,2025-12-28T00:41:19Z,0.0,pt,nem deus perdoa o cariani!,Neutro
UVgk7jxarYs,Ugzqeeao6i5ytyl3pNx4AaABAg,@Void190-m1f,UCNJuZZ9t0o2eb3DsiPLOyZw,Isso é uma mulher?,0.0,2025-08-12T15:16:39Z,2025-08-12T15:16:39Z,0.0,pt,Isso é uma mulher?,Neutro
KJA6XvSvG_8,UgyZc6odeu74JdB7P9B4AaABAg,@PuckSafadaoyt,UCCBTO6q_mSP3P6TFIDUk0ug,"Alguem sabe dizer se é verdade que o Felca foi embora pro EUA? Pq se foi verdade, que cara pilantra viu",0.0,2026-03-19T18:16:46Z,2026-03-19T18:16:46Z,0.0,pt,"Alguem sabe dizer se é verdade que o Felca foi embora pro EUA? Pq se foi verdade, que cara pilantra viu",Negativo
b_pFnNNR_hE,UgwicoGuNUx_dR3REYF4AaABAg,@carleannesoarescantuarioca6205,UCUYA2nXopsnuI7hJa0Cm5fw,Achei o seu primo felca,0.0,2026-01-23T12:41:40Z,2026-01-23T12:41:40Z,0.0,pt,Achei o seu primo felca,Neutro
Dx1rcbAiP4g,UgyF49Wtsyx2Rczgwk94AaABAg,@Charathejudge,UC4Sxve1tKu1hdoF3CK5Q03w,"Maluco o tigrinho é livre pra todas idades, mas brawl stars  é 18+ ksksksk",2.0,2026-03-20T01:47:09Z,2026-03-20T01:47:09Z,0.0,pt,"Maluco o tigrinho é livre pra todas idades, mas brawl stars é 18+ ksksksk",Neutro
c5O74nQs_6k,UgyWPVlvJHz-nzpHYAt4AaABAg,@brunoromio1550,UCgn81yBQV95iNi8N80MsmTg,"esse pessoal que ''sobrevive'' fazendo live fizeram o L pq eles sabiam que com esse governo ia ficar mais caros as coisas, quanto mais gente sem condição de comprar um PC melhor para o streamer",0.0,2026-03-19T03:11:13Z,2026-03-19T03:11:13Z,0.0,pt,"esse pessoal que ''sobrevive'' fazendo live fizeram o L pq eles sabiam que com esse governo ia ficar mais caros as coisas, quanto mais gente sem condição de comprar um PC melhor para o streamer",Neutro
_x_ikmGZpxo,Ugw_kPlwqL_eYM4gs-V4AaABAg,@RenatoSantos-gn6mm,UC8KSu-E9RJj14bvn0cD4SMg,"Parece que o MBL tenta forçar uma equivalência: se quem foi às festas da Refit deve ser investigado, então o Nando, por ter ido ao resort, também deveria. Daí o uso de disclaimers ""segundo as próprias regras do Nando"", pra ja se esquivarem, não somos nós que pensamos assim. No fim, o caminho é a Justiça, já que o debate na internet só gera narrativas e prejuízo a quem discorda.",1.0,2026-01-17T16:12:44Z,2026-01-17T16:12:44Z,1.0,pt,"Parece que o MBL tenta forçar uma equivalência: se quem foi às festas da Refit deve ser investigado, então o Nando, por ter ido ao resort, também deveria. Daí o uso de disclaimers ""segundo as próprias regras do Nando"", pra ja se esquivarem, não somos nós que pensamos assim. No fim, o caminho é a Justiça, já que o debate na internet só gera narrativas e prejuízo a quem discorda.",Neutro
Vsl53hSSEYo,UgzliqNJUVxTTyb1tU94AaABAg,@jaqueguedes2023,UCxwoLMYppARYRUUSMlLc7oQ,seo felca ser o presidente o mundo acaba!!,0.0,2026-02-22T04:12:41Z,2026-02-22T04:12:41Z,0.0,pt,seo felca ser o presidente o mundo acaba!!,Negativo
o6FgdAMUzUg,UgxDilqNNpyP6feqwFZ4AaABAg,@kiselasque_,UCj6UBk1Kie1o85KLYeDSxyA,"Só uma correção, o Felca é de Londrina",0.0,2026-03-25T21:54:51Z,2026-03-25T21:54:51Z,0.0,pt,"Só uma correção, o Felca é de Londrina",Neutro
uxLsLWvT_Ec,UgyEBJ4SpbhqzqTouE14AaABAg,@felipelapes,UCucq00AvyFq5yO7OQml8oGg,achei que ele tinha libertado todas as crianças do mundo e agora ia ser adorado por elas e canonizado pela Igreja,10.0,2026-01-15T22:28:32Z,2026-01-15T22:28:32Z,0.0,pt,achei que ele tinha libertado todas as crianças do mundo e agora ia ser adorado por elas e canonizado pela Igreja,Neutro
jgLjyjA5Zhg,Ugy-FAKtc-EAG2IJUIV4AaABAg,@gabiungheri,UCXG3KY7lw4s9ubBly0fEMPA,Achei que era a Gkay,0.0,2025-10-02T01:14:16Z,2025-10-02T01:14:16Z,0.0,pt,Achei que era a Gkay,Neutro
8BI6UzLOaBk,UgwfaXBlpQaqdrFcQo14AaABAg,@veraluciadasilvaoliveira6052,UCfoXjwMwQeMj-ntWxTmktMw,Mina estranha 😂😂😂realmente gosto não se discute,0.0,2026-01-14T14:05:54Z,2026-01-14T14:05:54Z,0.0,pt,Mina estranha 😂😂😂realmente gosto não se discute,Negativo
N80KnwQp_rE,UgywTkZjhJHaIRiyzVh4AaABAg,@lucasmelo7445,UC9KUk5B4VvZapcZz6D_YJYA,8:34 Aqui ele e o amigo dele se entregaram kk,4.0,2025-12-28T15:13:44Z,2025-12-28T15:13:44Z,0.0,pt,8:34 Aqui ele e o amigo dele se entregaram kk,Neutro
-g06texaASk,UgyyajQxKt6xLaVnhjZ4AaABAg,@mpguarnier,UCAXE8ojh_KVD-1Kh-BEohwA,"Não entendo pq uma lei tá sendo discutida só depois de votada. Agora já é tarde. É tanto absurdo atacando em varias frentes, uma lei fecal dessas acaba passando despercebida.",0.0,2026-03-22T11:51:02Z,2026-03-22T11:51:02Z,0.0,pt,"Não entendo pq uma lei tá sendo discutida só depois de votada. Agora já é tarde. É tanto absurdo atacando em varias frentes, uma lei fecal dessas acaba passando despercebida.",Negativo
dhSieTQ4yXU,UgxEVakSM2-G8Vd9-C14AaABAg,@erics7004,UCw5vQSSkZyWH5_q1FbzJZKQ,"Povo manso e trouxa, por isso que o bandido ganhou.",88.0,2026-03-15T03:01:41Z,2026-03-15T03:01:41Z,5.0,pt,"Povo manso e trouxa, por isso que o bandido ganhou.",Negativo
JBMUFERXWEw,Ugx75Dw5ug_-LY3HWXF4AaABAg,@afrizanadim,UCd8aaBoveukL8SkVqJ2vSKA,"Lagu ini mirip sama lagu lenggang puspita, yg kebetulan pernah dinyanyikan afgan.",0.0,2026-01-09T11:48:05Z,2026-01-09T11:48:05Z,0.0,pt,"Lagu ini mirip sama lagu lenggang puspita, yg kebetulan pernah dinyanyikan afgan.",Neutro
cW7QT5IXows,UgyBODUrOHE-9-Ife594AaABAg,@alexsandrosb9570,UCNMq_9cQKmgf3DwJBwLGe7g,"Mais um acontecimento daqueles em 15 dias de 2026, bora ver quanta desgraça nos aguarda.",0.0,2026-01-15T23:23:26Z,2026-01-15T23:23:26Z,0.0,pt,"Mais um acontecimento daqueles em 15 dias de 2026, bora ver quanta desgraça nos aguarda.",Negativo
fmhMgNlkezk,Ugw7o9BN5jRRzebrp5N4AaABAg,@AlexRamos-ff1wo,UCthHAk3PXT7Npkuz2adk-lA,😢😮 ela ficou linda maravilhosa engraçada kkk Fgfccccckkkkkmm😅😢🎉😂❤😍💖💋😘👩🏽‍🏫🙏🏽💗🙏🏻😊,0.0,2026-03-02T23:14:16Z,2026-03-02T23:14:16Z,0.0,pt,😢😮 ela ficou linda maravilhosa engraçada kkk Fgfccccckkkkkmm😅😢🎉😂❤😍💖💋😘👩🏽‍🏫🙏🏽💗🙏🏻😊,Positivo
eag3ygFV6ns,UgyHm8T7gWpe73R9kPJ4AaABAg,@moniceduarte3115,UC3ZuQZq8ZEG-DsvOzhjzKqw,E desde quando o estado está preocupado com crianças? Eles querem que todos morram,19.0,2026-03-20T13:49:26Z,2026-03-20T13:49:26Z,0.0,pt,E desde quando o estado está preocupado com crianças? Eles querem que todos morram,Negativo
8kw0bvcCWq0,Ugx13PV268yrO6zFgLZ4AaABAg,@Teoo-w,UChRUnl89fR1cqA-bedOjTSA,"O Felca denunciou mas depois fez merda? Sim, so que não e culpa dele:/",0.0,2026-01-17T00:03:37Z,2026-01-17T00:03:37Z,0.0,pt,"O Felca denunciou mas depois fez merda? Sim, so que não e culpa dele:/",Neutro
axmaaGxcaHY,Ugwjs5usfILgEdix9h14AaABAg,@betadroid1704,UCTjPebIuAQIuDk_iSbrCnSw,"lembrando que ja fizeram uma votaçao para a revogaçao da lei, ´´Revogação integral da Lei Felca (lei n° 15.211/25)´´",1.0,2026-03-20T08:25:27Z,2026-03-20T08:25:27Z,0.0,pt,"lembrando que ja fizeram uma votaçao para a revogaçao da lei, ´´Revogação integral da Lei Felca (lei n° 15.211/25)´´",Neutro
Y6jXmNIUTHY,UgwVCQS5GFneXwVgmnR4AaABAg,@thiago-ths,UCYsnLw_dyuhUTEjODNFujBQ,"Infelizmente não vejo como não piorar isso,  pq essa lei é apenas a ponta do ice q surgirá cada vez pior tudo em ""nome de salvar as crianças "". Uma coisa engraçada que os influenciadores q apoia tudo desse governo também sairá perdendo ja que seu público na maioria das vezes tambem é de menor , mais msm assim vão está ali defendendo ou vão tudo sair do Brasil,  se não me engano o próprio felca ja meteu o pé",6.0,2026-03-18T18:10:38Z,2026-03-18T18:10:38Z,0.0,pt,"Infelizmente não vejo como não piorar isso, pq essa lei é apenas a ponta do ice q surgirá cada vez pior tudo em ""nome de salvar as crianças "". Uma coisa engraçada que os influenciadores q apoia tudo desse governo também sairá perdendo ja que seu público na maioria das vezes tambem é de menor , mais msm assim vão está ali defendendo ou vão tudo sair do Brasil, se não me engano o próprio felca ja meteu o pé",Negativo
VEx08fKHvZg,Ugwp-DNF5R7qmBf0khN4AaABAg,@Henrique98128,UCYV8TCRR0NG2QqgsCUWRv7A,Gru chama o Zé da manga e o coração sazzzzzzzz e o amostradinho,0.0,2026-02-10T18:10:50Z,2026-02-10T18:10:50Z,0.0,pt,Gru chama o Zé da manga e o coração sazzzzzzzz e o amostradinho,Neutro
vDFr8w5uX64,UgwdF5iIU1PohKIyq7x4AaABAg,@CezarXavier-wy7vv,UCEa2wxcSPBExJl5kM0UPLoA,"A Xuxa é a principal bebedora de sangue de criança do país, ela quer os baixinhos só pra ela 😊",0.0,2026-03-22T16:40:06Z,2026-03-22T16:40:06Z,0.0,pt,"A Xuxa é a principal bebedora de sangue de criança do país, ela quer os baixinhos só pra ela 😊",Negativo
IKCr7IhWKdI,UgyZwdraT8wadMavb_h4AaABAg,@elienenobertopereirapereir6442,UCN0362a9cG21_B17Q74NdNA,# eu vou passar  com a Fabi ❤.,0.0,2026-01-25T11:55:43Z,2026-01-25T11:55:43Z,0.0,pt,# eu vou passar com a Fabi ❤.,Neutro
D_YEtr-14JI,Ugz6tgvSTQvbm3Ao_1t4AaABAg,@Mahria-kyw,UCSym6p6ykmTPexlZD7KhG3Q,"Mustang, Maserati, Mclaren, Mercedes, entre outros",1.0,2025-12-25T17:48:14Z,2025-12-25T17:48:14Z,0.0,pt,"Mustang, Maserati, Mclaren, Mercedes, entre outros",Neutro
mrLEcISVIhU,UgxIQmZh7zKQWz_8Zkp4AaABAg,@SonCongelado,UC7YtxOu2DB5p-JkM8J0mgwA,"Oi! Boa Noite, Bom Dia Ou Boa Tarde

Tlgd tlgd, Não tem nada haver com o vídeo mas, estou tentando espalhar o evangelho.

Bom, há muito tempo atrás, Jesus se sacrificou na cruz pelos nossos pecados, para que assim nós pudessemos ter uma redenção por eles.

Jesus fez isso tudo por apenas nos amar, Mesmo com nossos defeitos.

Todo dia cometemos um pecado, isso vale para TODOS que ja existiram nessa terra. ( Exceto Jesus Cristo, Pois ele nunca pecou por ser Deus.)

Mas mesmo constantemente Deus Nos Perdoa e continua nos amando e guiando ❤.

Bom. Muitos acham que pra herdar o reino de Deus, Basta ser apenas alguem ""Bonzinho, Gente Boa... Etc""

Mas, Também é necessário pedir perdão pelos nossos pecados que cometemos os confessando e se arrependendo de verdade deles. Mas, não muda o fato que amar o próximo e respeitar o próximo são de extrema importância ainda...

Como podemos pedir perdão pelos nossos pecados? Podemos fazer isso apenas orando a DEUS e Pedindo perdão e misericórdia a DEUS e os confessando a DEUS.

Deus vai te escutar e vai te perdoar. Como um arrependimento é necessário mudança, é necessário que você mude de verdade e tente mudar mesmo. Caso recaia no pecado, Continue tentando mudar tal hábito.

Bom, Eu não tenho tanto conhecimento no momento pra guiar ou falar mais no assunto. Caso leu até aqui, recomendo que tente buscar o conhecimento por si só, seja por vídeos ou textos.

Lembre-se que, Jesus sempre vai te amar. Assim como Deus sempre vai estar ao seu lado e vai te amar ❤❤!!",0.0,2025-08-10T01:56:50Z,2025-08-10T01:56:50Z,0.0,pt,"Oi! Boa Noite, Bom Dia Ou Boa Tarde Tlgd tlgd, Não tem nada haver com o vídeo mas, estou tentando espalhar o evangelho. Bom, há muito tempo atrás, Jesus se sacrificou na cruz pelos nossos pecados, para que assim nós pudessemos ter uma redenção por eles. Jesus fez isso tudo por apenas nos amar, Mesmo com nossos defeitos. Todo dia cometemos um pecado, isso vale para TODOS que ja existiram nessa terra. ( Exceto Jesus Cristo, Pois ele nunca pecou por ser Deus.) Mas mesmo constantemente Deus Nos Perdoa e continua nos amando e guiando ❤. Bom. Muitos acham que pra herdar o reino de Deus, Basta ser apenas alguem ""Bonzinho, Gente Boa... Etc"" Mas, Também é necessário pedir perdão pelos nossos pecados que cometemos os confessando e se arrependendo de verdade deles. Mas, não muda o fato que amar o próximo e respeitar o próximo são de extrema importância ainda... Como podemos pedir perdão pelos nossos pecados? Podemos fazer isso apenas orando a DEUS e Pedindo perdão e misericórdia a DEUS e os confessando a DEUS. Deus vai te escutar e vai te perdoar. Como um arrependimento é necessário mudança, é necessário que você mude de verdade e tente mudar mesmo. Caso recaia no pecado, Continue tentando mudar tal hábito. Bom, Eu não tenho tanto conhecimento no momento pra guiar ou falar mais no assunto. Caso leu até aqui, recomendo que tente buscar o conhecimento por si só, seja por vídeos ou textos. Lembre-se que, Jesus sempre vai te amar. Assim como Deus sempre vai estar ao seu lado e vai te amar ❤❤!!",Positivo
8EO9QFNTS7A,UgzS8ODTDiKHQI4USEx4AaABAg,@ultimoheroidaterraw,UCSNFAxHDkG9L27iUsHKFneg,"Respeitar uma religião significa respeitar o deus dela, EU CUSPO NA CARA DOS deuses DAS OUTRAS RELIGIÕES, EU SOU APENAS UM HOMEM, CADÊ OS deuses OFENDIDOS QUE NÃO CONSEGUEM ME ABATER? SE JUNTEM OS deuses E VENHAM CONTRA O MORTAL!!!!!!.""

""EU Desafio VC A FAZER UMA MACUMBA AGORA PRA MINHA MÃE MORRER,SUA PUTA MAL COMIDA"".",0.0,2025-11-08T01:24:47Z,2025-11-08T01:24:47Z,0.0,pt,"Respeitar uma religião significa respeitar o deus dela, EU CUSPO NA CARA DOS deuses DAS OUTRAS RELIGIÕES, EU SOU APENAS UM HOMEM, CADÊ OS deuses OFENDIDOS QUE NÃO CONSEGUEM ME ABATER? SE JUNTEM OS deuses E VENHAM CONTRA O MORTAL!!!!!!."" ""EU Desafio VC A FAZER UMA MACUMBA AGORA PRA MINHA MÃE MORRER,SUA PUTA MAL COMIDA"".",Negativo
Xw7mx7MzjDI,UgyXJdOuTCBu26OmiHZ4AaABAg,@sofianegri6909,UClhtZ5t63_TEdx6SZdN6lqw,QUE SUSTO DESSE “ACABOU💔” EU MORRI🕊️,1.0,2025-12-25T21:14:49Z,2025-12-25T21:15:07Z,0.0,pt,QUE SUSTO DESSE “ACABOU💔” EU MORRI🕊️,Neutro
5utIw2BvZT8,UgzlOobNNF5EHOP_c0x4AaABAg,@LiroJao,UCC3XjpV5Z-mFtsb8wF96ELw,"Patrux, nada a ver com o assunto do vídeo, mas vc planeja fazer aquele vídeo do Ave Mujica?",0.0,2026-03-19T17:41:21Z,2026-03-19T17:41:21Z,1.0,pt,"Patrux, nada a ver com o assunto do vídeo, mas vc planeja fazer aquele vídeo do Ave Mujica?",Neutro
CYOUj0rt5qA,UgwPaGHA68NdDm1hpPt4AaABAg,@vitorharl,UCkb1ZMqGZYIzxmiAwlGOFfQ,"falou tudo, eu já fiz o voto oficial no website da cidadania.",1.0,2026-03-18T13:39:14Z,2026-03-18T13:39:14Z,1.0,pt,"falou tudo, eu já fiz o voto oficial no website da cidadania.",Positivo
df-1eJgwk_M,UgxQGWQzeKhtlKUDrIR4AaABAg,@Pedro-h7i7n,UCMDVP3BQvkBcB71F2Dm0Dww,Obrigado!!!,0.0,2025-11-14T02:17:58Z,2025-11-14T02:17:58Z,0.0,pt,Obrigado!!!,Positivo
vXqm6g754Ko,UgzaYm__pn4JnpYBmhR4AaABAg,@barras_sujas,UCB9V144vCLIk7UyX8M1uwaw,"O jogo nunca lança, aí quando lança os cara cria lei pra proibir vsf KKKKKKKKKK",173.0,2026-03-17T19:51:18Z,2026-03-17T19:51:18Z,8.0,pt,"O jogo nunca lança, aí quando lança os cara cria lei pra proibir vsf KKKKKKKKKK",Negativo
PHVuTWKAMMc,UgzK2AUEbwCUNtwlFYF4AaABAg,@MariadoSocorroDesouza-m4c,UC1H_vO4fzp2TOiP62znCflw,"Por favor ñ corta o cabelo,ele é maravilhoso ❤❤❤❤❤❤❤❤",0.0,2025-09-08T12:23:02Z,2025-09-08T12:23:02Z,0.0,pt,"Por favor ñ corta o cabelo,ele é maravilhoso ❤❤❤❤❤❤❤❤",Positivo
