,arquivo,duracao_segundos,frequencia_amostragem,amplitude_media,amplitude_maxima,amplitude_ratio (mean/max),snr_estimado_db,zero_crossing_rate,regioes_silencio,silencio/tempo,cluster,resposta_1,resposta_2,resposta_3,classificacao
595,8fYwlIhtXpQ,52.373333333333335,48000,0.04625421,1.0038817,0.0460753589868545,19.805265,0.035077106877418,3,0.05728105906313646,17,Boa,Boa,Boa,Boa
602,ch5Af1389ic,56.13425,48000,0.039585702,1.023782,0.0386661440134048,25.306229,0.0270719156730951,7,0.12470105149708066,17,Boa,Boa,Boa,Boa
621,oL6y3bIJIyQ,36.455333333333336,48000,0.06722165,0.9410635,0.0714315772056579,23.938526,0.0302071523917495,0,0.0,48,Boa,Boa,Boa,Boa
636,FsivcAXU0sI,13.973333333333333,48000,0.17865677,0.9767102,0.1829168647527694,32.299084,0.0380743915665522,0,0.0,4,Boa,Boa,Boa,Boa
662,DG2aramdjgs,69.05614583333333,48000,0.14362672,1.1902713,0.1206672191619873,27.209793,0.055612557311776,0,0.0,36,Boa,Boa,Boa,Boa
664,RawO1MIKkcg,21.14177083333333,48000,0.038325764,0.8052918,0.047592394053936,29.194801,0.0309153685230711,3,0.14189918260158357,17,Boa,Boa,Boa,Boa
665,rV5CBbtIjJI,74.2458125,48000,0.10445663,1.1317728,0.0922947078943252,26.896894,0.0336716954280994,21,0.2828442344812376,35,Boa,Boa,Boa,Boa
672,o3ZBJsShDlw,21.768979166666668,48000,0.057467207,0.83795595,0.068580225110054,20.92361,0.0257724461048505,1,0.04593692668562203,48,Boa,Boa,Boa,Boa
675,_IdPS2l8QRE,63.30920833333333,48000,0.04798242,0.5143797,0.0932821109890937,45.30694,0.1044631505590886,0,0.0,51,Ruim,Boa,Boa,Boa
678,9cpSu84GDX0,75.8944375,48000,0.027560392,0.4258405,0.0647199898958206,28.75474,0.0746012232556913,13,0.17129055077323685,68,Boa,Boa,Boa,Boa
682,1b3wlcCfeCc,82.41922916666667,48000,0.0574146,0.76667595,0.0748877003788948,27.153793,0.0368904794066261,7,0.08493163635205478,25,Boa,Ruim,Boa,Boa
690,1jzcNWLaZZ4,23.684354166666665,48000,0.08481239,0.98512465,0.0860930532217025,27.09799,0.0540492827695857,2,0.08444393230763277,1,Boa,Boa,Boa,Boa
703,0Oeq-DZQP14,55.2635,48000,0.029414717,0.53750455,0.0547245927155017,33.560986,0.0477085934484173,14,0.25333176508907324,19,Boa,Boa,Boa,Boa
715,VgKuxiu8jok,60.77825,48000,0.022729095,0.47010565,0.0483489073812961,25.173367,0.0395632067995349,10,0.16453254248024582,60,Ruim,Boa,Boa,Boa
730,UtsEJJLrqUA,33.982416666666666,48000,0.06568383,0.6135378,0.107057511806488,32.403435,0.0478365431771814,4,0.11770793228851195,46,Boa,Boa,Boa,Boa
750,2WUN0CScV4s,13.630125,48000,0.057968292,0.9602306,0.06036913767457,30.781647,0.0564025974422926,0,0.0,12,Boa,Boa,Boa,Boa
752,6xxi70O9EpI,7.325895833333333,48000,0.1292801,0.633016,0.2042288184165954,46.680153,0.0304120326146288,0,0.0,26,Ruim,Ruim,Boa,Ruim
753,4mdtz-9WTZ4,30.9754375,48000,0.028453313,0.23136005,0.1229828298091888,170.65732,0.0411790579803719,0,0.0,37,Boa,Boa,Boa,Boa
754,2zQljvuiXI8,88.81066666666666,48000,0.016435845,0.36467543,0.0450697876513004,25.065536,0.0560438628670289,6,0.06755945231803988,0,Boa,Boa,Boa,Boa
756,Tv5cq8V64Xk,60.181333333333335,48000,0.08819259,0.91982925,0.0958793088793754,22.675982,0.0540791169646021,0,0.0,1,Boa,Boa,Boa,Boa
759,WdE-vi0NoN0,50.10866666666666,48000,0.05135196,0.9502421,0.0540409237146377,26.039488,0.0604373287170072,0,0.0,12,Boa,Boa,Boa,Boa
787,h959Dkytds8,60.580875,48000,0.05030859,1.0065292,0.0499822460114955,21.318718,0.0571491939920774,8,0.13205487705484611,64,Boa,Boa,Boa,Boa
874,jWuYA-qbGA4,68.87039583333333,48000,0.033580974,0.8388898,0.0400302559137344,19.398243,0.0577078564203577,0,0.0,12,Boa,Boa,Boa,Boa
876,2ffj4xLesGU,49.446895833333336,48000,0.103557445,0.9802579,0.105643056333065,55.016342,0.0349510791900345,0,0.0,61,Boa,Boa,Boa,Boa
880,axuEcDA13Rg,9.984,48000,0.11599176,0.8594731,0.1349568217992782,55.66091,0.0426503510205442,0,0.0,61,Boa,Ruim,Ruim,Ruim
883,HFOA6sU8yvk,53.162104166666666,48000,0.0613558,0.6055298,0.1013258174061775,26.368492,0.0598480567503511,0,0.0,21,Boa,Boa,Boa,Boa
884,ZT9heVNg_2s,83.9053125,48000,0.10522291,0.48659292,0.2162442356348037,40.143322,0.0528912183607156,1,0.011918196478917828,55,Boa,Boa,Ruim,Boa
888,mSFiN-p2eCQ,107.84,48000,0.022607643,0.36802006,0.0614304654300212,29.328707,0.0711319200623083,30,0.27818991097922846,34,Boa,Boa,Boa,Boa
891,pHETdq9rIF0,48.49489583333333,48000,0.07608261,0.9968338,0.0763242691755294,31.795979,0.0327168840719155,11,0.226827995214273,35,Boa,Boa,Boa,Boa
892,6Kw2J40JSDw,60.30222916666666,48000,0.076488525,0.6755509,0.1132239326834678,28.883034,0.0262509465091085,0,0.0,9,Boa,Boa,Boa,Boa
907,kNJ9kzAzO5Y,59.129625,48000,0.053519834,1.1274605,0.0474693663418293,19.847198,0.0330984052297528,0,0.0,53,Boa,Boa,Boa,Boa
932,cYrh6Z7httY,59.19929166666667,48000,0.092485,1.0377989,0.0891164988279342,33.52211,0.0638240779842342,8,0.135136752058548,63,Boa,Ruim,Boa,Boa
978,eMeK2wN66FA,60.5344375,48000,0.030607153,0.9572326,0.0319746248424053,29.659311,0.063123857580162,5,0.08259761230952216,64,Boa,Boa,Boa,Boa
981,2KTtYrqwzRk,80.3410625,48000,0.02144333,0.39140472,0.054785568267107,28.944164,0.0760227067636418,13,0.16181015778824184,68,Boa,Boa,Boa,Boa
985,GO0ziRWD0wU,50.03902083333333,48000,0.08447425,1.0745605,0.0786128342151641,22.957573,0.0361042982070545,0,0.0,53,Boa,Boa,Boa,Boa
1003,jnajIOBzcvo,32.20608333333333,48000,0.03890192,0.4909891,0.07923174649477,31.718494,0.0601578668253311,2,0.06210006908632686,42,Boa,Boa,Boa,Boa
1013,Fk-JKgxBGUE,98.98666666666666,48000,0.06927481,1.0059261,0.0688666999340057,28.469273,0.0663166011205689,21,0.21214978448275862,24,Boa,Boa,Boa,Boa
1015,rnfO2ZJlOs8,10.274833333333332,48000,0.34253752,1.1038213,0.310319721698761,56.316063,0.0423847372601141,0,0.0,10,Ruim,Ruim,Ruim,Ruim
1024,-YCaIZ0geac,64.704,48000,0.06715541,0.46718144,0.1437458992004394,40.90216,0.0597290220145871,11,0.17000494559841742,46,Ruim,Ruim,Ruim,Ruim
1053,CKlHsYQ81WU,68.81235416666667,48000,0.07486837,1.0063939,0.0743927136063575,40.587303,0.0724716990613375,17,0.24704866162295833,54,Ruim,Boa,Ruim,Ruim
1082,KNjnTiUoIG4,84.834125,48000,0.065768704,1.01353,0.0648907348513603,29.039612,0.0541124773109441,16,0.1886033480041198,24,Boa,Boa,Boa,Boa
1089,eFY27EbUdFM,81.94322916666667,48000,0.073029004,0.9894375,0.0738086029887199,26.300413,0.0677843432741116,10,0.12203570815668877,24,Boa,Boa,Boa,Boa
1113,MuA0T0CAZNw,40.286625,48000,0.01788271,0.27656102,0.0646609961986541,27.173613,0.041483092566852,0,0.0,70,Boa,Boa,Boa,Boa
1115,3vmHSYT9BpE,92.25289583333333,48000,0.03941078,0.5126106,0.0768824890255928,36.427677,0.0596836181386576,21,0.22763513069485852,67,Boa,Boa,Boa,Boa
1144,W2ouLkM9NJ4,75.07297916666667,48000,0.010318174,0.4270915,0.0241591650992631,23.081818,0.0830941062739735,8,0.10656297497185377,30,Boa,Boa,Boa,Boa
1147,fZunwKCDklI,73.65370833333333,48000,0.08719776,1.1877644,0.0734133422374725,21.830383,0.0439830683916159,1,0.013577048903964443,53,Boa,Boa,Boa,Boa
1176,mpEb88kyJOM,13.212166666666668,48000,0.03240644,0.7057742,0.0459161549806594,24.1245,0.0716725150070621,0,0.0,72,Boa,Boa,Boa,Boa
1208,azGFIxktV-I,41.31991666666666,48000,0.117310256,1.5556307,0.0754100903868675,32.496593,0.0364240923060789,5,0.1210070204239683,43,Boa,Ruim,Ruim,Ruim
1223,H0ZDI4FQXjk,46.2309375,48000,0.051055387,0.6905066,0.0739390328526496,22.84853,0.0436450223471741,0,0.0,25,Boa,Boa,Boa,Boa
1239,sweOddUh-zo,58.839375,48000,0.13643195,0.9760552,0.1397789269685745,33.18857,0.0711253285299981,2,0.03399084371647388,58,Ruim,Ruim,Ruim,Ruim
1243,i5IvdliHmAM,18.68045833333333,48000,0.08026344,0.9991183,0.0803342685103416,27.978676,0.0698448425014269,0,0.0,77,Boa,Boa,Boa,Boa
1249,DkxamO1daSE,60.63891666666667,48000,0.08798211,1.0401855,0.0845831036567688,24.919151,0.0583544621262093,0,0.0,1,Boa,Boa,Boa,Boa
1251,EnskSrMV23I,62.208,48000,0.13949826,1.2397455,0.112521693110466,31.328127,0.0470106104277387,0,0.0,36,Boa,Boa,Boa,Boa
1264,Qf_ABPyvtno,59.81460416666667,48000,0.03601204,0.46962577,0.0766824185848236,22.16635,0.0524871869706223,0,0.0,42,Boa,Boa,Boa,Boa
1266,RNuafKgk7ns,41.408,48000,0.032858722,0.32161832,0.102166824042797,26.838306,0.0507554715667653,0,0.0,0,Boa,Boa,Boa,Boa
1269,TaNt-Tb0JRo,59.477916666666665,48000,0.066508055,0.90573287,0.073430098593235,28.984497,0.0546725284931414,5,0.08406481397157209,12,Boa,Boa,Boa,Boa
1271,ZnQSKE0EiOA,57.68535416666667,48000,0.031715505,0.57358557,0.0552934147417545,25.970419,0.0505609863190978,3,0.05200626819993665,42,Boa,Boa,Boa,Boa
1273,p8IPaM5RwSk,95.17860416666667,48000,0.04794502,0.82807344,0.0578994750976562,31.227287,0.0387293546172811,22,0.23114438578523314,2,Boa,Boa,Ruim,Boa
1280,a2sTV61fFaw,42.956916666666665,48000,0.05664106,0.5322401,0.1064201295375824,34.0002,0.0768042889228525,0,0.0,21,Boa,Boa,Boa,Boa
1286,geq_xPXX5ck,34.272979166666666,48000,0.073758766,0.9484211,0.0777700617909431,31.064217,0.0309292900688394,3,0.08753251316178987,48,Ruim,Boa,Boa,Boa
1290,6bDY7VRI7sY,33.36708333333333,48000,0.095457606,0.62910354,0.1517359167337417,39.42967,0.0450654412352189,0,0.0,55,Ruim,Ruim,Ruim,Ruim
1355,PeO-01gRTDI,24.5435,48000,0.08638474,1.0686412,0.0808360576629638,26.993952,0.0703606702928074,0,0.0,76,Ruim,Ruim,Ruim,Ruim
1383,3LrEBXmXHoA,15.061333333333334,48000,0.121447176,0.94734967,0.1281967759132385,42.790245,0.0189600335058386,0,0.0,20,Boa,Boa,Ruim,Boa
1389,c0AnqKD5g58,83.264,48000,0.06971628,1.0064237,0.0692713037133216,28.787653,0.0582847199428397,14,0.1681398923904689,24,Boa,Boa,Boa,Boa
1400,tm_2AkBPOP0,50.71297916666666,48000,0.06843469,0.963187,0.0710502713918685,29.087961,0.0563943792718191,7,0.1380317251131059,24,Boa,Boa,Boa,Boa
1415,Y2cToLuJV_g,86.88908333333333,48000,0.05722635,0.97666526,0.0585936158895492,27.938927,0.0487264646759145,14,0.16112495911933702,17,Boa,Boa,Boa,Boa
1418,LpYxJwDBkOQ,102.93333333333334,48000,0.13986081,1.2064129,0.1159311309456825,28.666328,0.0549249369398248,0,0.0,36,Boa,Boa,Boa,Boa
1422,79a1PkMpCyI,58.18920833333333,48000,0.063590534,0.97529984,0.0652010068297386,27.11829,0.0784676739197672,0,0.0,77,Boa,Boa,Boa,Boa
1449,UOhaIKXlvnI,65.24808333333333,48000,0.085935265,0.9732874,0.0882938206195831,29.806969,0.0505360718372017,4,0.06130448276258435,1,Boa,Boa,Boa,Boa
1453,FlCSlxbEIHI,104.94260416666668,48000,0.08169749,1.0600806,0.0770672336220741,29.462349,0.0484465916886878,7,0.06670312839657391,1,Boa,Boa,Boa,Boa
1456,-MJYcvzq6NM,94.51683333333334,48000,0.07460624,1.0545884,0.0707444101572036,36.733276,0.0418511750049373,12,0.1269615112651891,17,Boa,Boa,Boa,Boa
1463,JXcWoRrSYbQ,28.177416666666662,48000,0.1894372,1.1788741,0.1606933176517486,32.896027,0.0694043190528009,0,0.0,58,Ruim,Boa,Ruim,Ruim
1470,5jK4ccLczAA,15.116208333333333,48000,0.064531945,0.9805405,0.0658126249909401,34.973267,0.0261843402900211,0,0.0,48,Ruim,Ruim,Ruim,Ruim
1478,LuH5NoBMUVU,25.716104166666668,48000,0.054913227,0.41309512,0.132931187748909,47.634834,0.0366931916865408,0,0.0,50,Boa,Boa,Boa,Boa
1480,ZR2t0iPGcXI,53.046,48000,0.18257184,0.9876138,0.1848615705966949,52.27169,0.03456283219617,0,0.0,4,Boa,Boa,Boa,Boa
1487,fkxXjEDO-48,102.82958333333332,48000,0.02763396,0.22082177,0.1251414716243744,39.5765,0.1374089075141323,24,0.23339586937935342,51,Boa,Boa,Boa,Boa
1495,jZDNKQFl7wA,36.11864583333333,48000,0.01609671,0.27366215,0.0588196404278278,32.370228,0.0542880233706082,0,0.0,0,Boa,Boa,Ruim,Boa
1496,7vbZKg_s8oM,38.72,48000,0.030615473,0.4397598,0.0696186274290084,37.1761,0.0487376228569953,5,0.1291322314049587,60,Boa,Boa,Boa,Boa
1498,AsuhGc4deSA,54.784,48000,0.07665755,0.8372333,0.0915605574846267,26.840302,0.0611782092539419,0,0.0,56,Boa,Boa,Boa,Boa
1513,3DaG4vJYW7c,26.377875,48000,0.039882988,0.59987056,0.0664859861135482,32.536137,0.0315817074403558,6,0.22746335707482124,19,Boa,Ruim,Boa,Boa
1526,YWiKTEiwHFY,36.4785625,48000,0.07310359,0.53917587,0.1355839520692825,32.24427,0.0616502192982456,0,0.0,21,Boa,Boa,Boa,Boa
1534,6vfGMn49Z90,69.659875,48000,0.062320057,0.64059436,0.0972847416996955,28.06356,0.0337724500220104,0,0.0,9,Boa,Boa,Boa,Boa
1547,mDu7IGbtZAY,78.5415,48000,0.021982962,0.5794436,0.0379380546510219,23.586922,0.038070885918828,19,0.24191032766117276,19,Ruim,Ruim,Boa,Ruim
1549,dEnGq2aGURM,58.491083333333336,48000,0.3002072,1.3895847,0.2160409539937973,33.53079,0.0682963365016411,0,0.0,15,Ruim,Ruim,Ruim,Ruim
1551,LJ8xrO3dKoM,88.00364583333334,48000,0.011757177,0.20006424,0.0587670095264911,29.950024,0.0308320819067385,0,0.0,70,Ruim,Ruim,Ruim,Ruim
1563,IGMBvMTr2Ak,34.474666666666664,48000,0.06237489,0.4835795,0.1289858072996139,34.0843,0.0822683677118775,1,0.02900680693069307,21,Boa,Boa,Boa,Boa
1566,bE9VFn64KX8,16.242375,48000,0.0984474,1.0213938,0.0963853523135185,27.136862,0.0404443070830597,0,0.0,53,Boa,Boa,Boa,Boa
1645,5jcZM4A_Ao0,106.30095833333333,48000,0.06459736,0.606917,0.1064352393150329,30.930824,0.0646372961036273,9,0.08466527622242352,21,Boa,Boa,Ruim,Boa
1670,rwqcBgFlv9w,95.01697916666669,48000,0.10544154,0.81866634,0.1287967264652252,27.997437,0.05500646144968,2,0.021048869555112405,18,Boa,Boa,Boa,Boa
1692,n7lGOKaYsX4,67.09333333333333,48000,0.025125548,0.4997553,0.0502757020294666,29.22841,0.0460848707478938,15,0.2235691573926868,60,Boa,Boa,Boa,Boa
1769,LmHPCc3EFOg,41.48245833333333,48000,0.14801227,0.90328825,0.1638593971729278,36.603184,0.0711842245355489,7,0.16874602618174955,63,Boa,Boa,Boa,Boa
1779,oDDk-8FHwnk,90.1863125,48000,0.040803567,0.4892211,0.0834051668643951,26.942657,0.050302439846984,0,0.0,42,Ruim,Ruim,Boa,Ruim
1798,t50j9cbeuew,32.74014583333334,48000,0.071057975,0.95569766,0.0743519440293312,38.92859,0.0634479336319218,0,0.0,56,Boa,Boa,Boa,Boa
1846,b30BhV93-cA,63.378875,48000,0.06096196,0.97975796,0.0622214488685131,27.975218,0.0427284715794345,9,0.14200315168106092,17,Boa,Boa,Boa,Boa
1858,PeaW8eX-n78,41.610166666666665,48000,0.051986318,0.8643599,0.0601442940533161,22.370012,0.0285353515124327,1,0.024032588189585077,48,Boa,Boa,Boa,Boa
1887,S3clngTRDa4,111.66477083333334,48000,0.062283766,1.0325582,0.060319859534502,32.917614,0.0643764477266214,39,0.3492596609382734,54,Boa,Boa,Boa,Boa
1905,NhxcuT2FDLw,22.140229166666668,48000,0.06836157,0.7894898,0.0865895599126815,31.073818,0.0545804826740125,0,0.0,56,Boa,Boa,Boa,Boa
1963,Q7wPKBo8HB0,55.356375,48000,0.04372246,0.77321494,0.0565463192760944,26.371086,0.058754816955684,7,0.1264533669337994,64,Boa,Boa,Boa,Boa
2018,cnPWfcdX9Rk,29.546666666666667,48000,0.041230194,0.4742755,0.0869330018758773,44.67867,0.0836405869383796,0,0.0,14,Boa,Boa,Boa,Boa
2025,IHHXZzGOv4E,38.10395833333333,48000,0.06923841,1.0264533,0.067454032599926,20.551146,0.0638592066365799,0,0.0,77,Boa,Ruim,Boa,Boa
2055,8mwykk_XYJg,60.77825,48000,0.18836682,1.0911571,0.1726303398609161,28.430122,0.0493257468355124,0,0.0,41,Boa,Boa,Boa,Boa
2084,YecaStNVkxE,47.07845833333333,48000,0.111756474,1.0611712,0.1053142771124839,23.00214,0.0350584610047575,0,0.0,20,Boa,Ruim,Boa,Boa
2121,ndv7SDaMBQg,111.386125,48000,0.24194777,1.4501979,0.1668377518653869,31.702602,0.0467159801272383,0,0.0,41,Ruim,Ruim,Ruim,Ruim
2197,2IcxKzVJwSQ,106.20808333333332,48000,0.051348917,0.98471177,0.0521461404860019,30.929937,0.0735040784576471,2,0.018830958409474484,77,Boa,Boa,Boa,Boa
2198,fRkDwBFTxDg,90.73197916666666,48000,0.09526282,1.0038141,0.0949008539319038,34.050354,0.0619356669507464,13,0.14327914060069322,63,Ruim,Boa,Boa,Boa
2208,d1dxvXd66Xc,5.015520833333333,48000,0.13151126,0.7218163,0.1821949034929275,47.538033,0.0599652916003184,0,0.0,18,Ruim,Ruim,Boa,Ruim
2211,JkAqlpeNG0Y,56.4709375,48000,0.10328129,0.9793853,0.1054552122950553,30.592026,0.0443386117504721,0,0.0,1,Boa,Boa,Boa,Boa
2212,dqfZ6w1urMs,32.2176875,48000,0.07765996,0.8612207,0.0901742801070213,32.32486,0.0607471333478152,0,0.0,56,Boa,Boa,Boa,Boa
